comparison	relatedness	1:max_ibd	2:max_ibd	3:max_ibd	4:max_ibd	5:max_ibd	6:max_ibd	7:max_ibd	8:max_ibd	9:max_ibd	10:max_ibd	11:max_ibd	12:max_ibd	13:max_ibd	14:max_ibd	1:n_ibd	2:n_ibd	3:n_ibd	4:n_ibd	5:n_ibd	6:n_ibd	7:n_ibd	8:n_ibd	9:n_ibd	10:n_ibd	11:n_ibd	12:n_ibd	13:n_ibd	14:n_ibd
DE032N0:DE274C0	0.504	2	1	1	1	3	2	1	1	2	1	1	2	2	2	0.43	0.874	0.431	0.166	0.43	0.279	0.783	0.131	0.089	0.566	1.0	0.155	0.502	0.245
DE032N0:DE317C0	0.562	1	0	1	1	1	2	1	2	1	1	1	3	1	2	0.407	0.0	0.253	0.491	0.574	0.433	0.195	0.356	0.512	0.465	1.0	0.198	0.729	0.319
DE032N0:DE327C0	0.508	1	0	1	1	2	3	1	1	2	0	1	1	1	2	0.188	0.0	0.217	0.166	0.574	0.281	0.76	0.817	0.264	0.0	0.576	1.0	0.862	0.134
DE032N0:DE366C0	0.536	1	3	1	1	2	2	2	1	2	1	1	1	2	2	0.188	0.367	1.0	0.166	0.477	0.389	0.422	0.458	0.488	0.708	0.168	0.841	0.464	0.306
DE032N0:MKK2835.2G/	0.435	1	0	1	1	2	2	1	0	1	0	1	1	1	2	0.188	0.0	1.0	0.166	0.574	0.433	0.217	0.0	0.438	0.0	1.0	0.159	0.387	0.319
DE032N0:NHP1337.12C/	0.565	1	1	0	1	2	2	1	1	2	1	0	1	2	2	0.812	1.0	0.0	0.834	0.142	0.12	0.783	1.0	0.488	1.0	0.0	0.841	0.317	0.306
DE034N0:DE039N0	0.624	1	1	1	1	2	1	1	1	1	1	1	3	2	3	1.0	1.0	0.495	0.58	0.458	1.0	0.506	0.761	0.564	0.455	0.19	0.279	0.32	0.371
DE034N0:DE041N0	0.438	0	1	2	2	1	0	1	1	2	1	2	3	2	1	0.0	1.0	0.732	0.26	0.458	0.0	0.289	0.239	0.417	0.76	0.216	0.401	0.396	0.205
DE034N0:DE043N0	0.593	1	1	2	2	2	1	2	1	1	1	2	2	3	2	0.638	0.765	0.111	0.209	0.458	0.38	0.494	0.067	0.832	1.0	0.4	0.319	0.292	0.682
DE034N0:DE044N0	0.518	0	2	2	2	1	0	3	1	2	1	2	2	3	4	0.0	0.292	0.662	0.42	0.395	0.0	0.246	0.13	0.628	0.736	0.357	0.308	0.292	0.285
DE034N0:DE048N0	0.478	0	0	1	3	2	1	1	1	1	1	1	2	3	1	0.0	0.0	0.148	0.453	0.542	1.0	0.26	0.219	0.541	0.864	0.559	0.193	0.149	0.622
DE034N0:DE064N0	0.644	1	1	1	1	1	2	1	2	1	2	2	2	1	1	0.58	1.0	0.198	0.58	0.458	0.582	0.375	0.239	1.0	0.588	0.268	0.279	0.743	1.0
DE034N0:DE065N0	0.362	0	0	1	2	1	1	1	2	2	1	1	1	4	1	0.0	0.0	0.148	0.42	0.542	0.661	0.19	0.312	0.232	0.128	0.071	0.681	0.186	0.279
DE034N0:DE066N0	0.393	1	1	1	1	1	0	1	1	2	1	2	3	3	2	1.0	1.0	0.148	0.42	0.542	0.0	0.113	0.612	0.182	0.272	0.159	0.126	0.296	0.387
